序号,场所名称,所属区,建设类别,建设地点,总占地面积（公顷）,总占地面积（公顷）,有效使用面积（公顷）,避难人数（万人）,场所类型,lng,lat
1,音乐广场,黄浦区,Ⅱ类,延安东路523号,0.54,0.54,0.2,0.11,场地型,121.48452913325184,31.23291104426267
2,大连路公共绿地,杨浦区,Ⅰ类,荆州路405号,3.282,3.282,2,1.5,场地型,121.52086124932049,31.265200043133586
3,控江初级中学,杨浦区,Ⅱ类,永吉路118号,0.817,0.817,0.548,0.25,场所型,121.53925282695307,31.292346824079424
4,复旦实验中学,杨浦区,Ⅱ类,安波路151号,0.75,0.75,0.56,0.25,场所型,121.54336131703351,31.310107246270725
5,杨浦区教育学院附中,杨浦区,Ⅱ类,江浦路1322号,0.909,0.909,0.485,0.2,场所型,121.52628902081639,31.277596202627382
6,新中中学,静安区,Ⅱ类,原平路400号,10.12,10.12,6,0.17,场所型,121.4385711945475,31.292408462702458
7,岭南公园,静安区,Ⅱ类,汾西路580号,3.83,3.83,1.15,0.32,场地型,121.46259736354793,31.31992461391832
8,鲁迅公园,虹口区,Ⅱ类,四川北路甜爱支路280号,28.62,28.62,0.9,0.4,场地型,121.49027595292138,31.277016135071847
9,卢湾体育馆,黄浦区,Ⅲ类,肇嘉浜路128号,0.2949,0.2949,0.2359,0.09,场所型,121.47085611491502,31.210336695271177
10,市西中学,静安区,Ⅲ类,愚园路404号,3.83,3.83,2.94,0.7,场所型,121.44742148009291,31.229275299221015
11,中国中学,徐汇区,Ⅲ类,J州南路85号,1.693,1.693,1.04,0.425,场所型,121.48053886017651,31.235929042252014
12,中山公园,长宁区,Ⅰ类,长宁路780号,21.42,21.42,13.81,0.8,场所型,121.42741998926886,31.226187221197616
13,上海市晋元高级中学,普陀区,Ⅱ类,新村路2169号,9,9,6.3,0.4,场所型,121.40455236488464,31.275219044705878
14,金鼎中学,普陀区,Ⅱ类,金鼎路1278号,1.064,1.064,0.487,0.16,场所型,121.38693623451178,31.263565242479718
15,市北职业高级中学,静安区,Ⅱ类,宝山路584号,2.26,2.26,0.35,0.08,场所型,121.48478901303586,31.265257301151163
16,风华高级中学,静安区,Ⅱ类,大宁路1000号,2.8,2.8,0.4,0.18,场所型,121.45047967137108,31.2765990983767
17,三泉公园,静安区,Ⅱ类,宝德路1200号,2.39,2.39,0.72,0.24,场地型,121.47357043484396,31.325600461188273
18,江湾初级中学,虹口区,Ⅲ类,奎照路528弄16号,1.34,1.34,1,0.2,场所型,121.48090294339971,31.305794188283354
19,上海理工大学附属中学,杨浦区,Ⅱ类,水丰路247号,0.64,0.64,0.5,0.25,场所型,121.54565819439198,31.292292745604428
20,复旦科技园小学,杨浦区,Ⅱ类,政悦路430号,0.48,0.48,0.38,0.19,场所型,121.53016098705604,31.338276901865843
21,市第十五中学,杨浦区,Ⅲ类,怀德路110号,0.225,0.225,0.18,0.09,场所型,121.53571503036312,31.25971885311261
22,华师大杨行中学,宝山区,Ⅲ类,宝杨路2888号,8.36,8.36,3.73,1.61,场所型,121.4538851475594,31.38420723848997
23,莘庄镇体育场区域,闵行区,Ⅱ类,莘东路540号,3.19,3.19,3.19,0.7,场所型,121.37969625142355,31.121075320304023
24,外冈中学,嘉定区,Ⅲ类,恒飞路688号,3.3121,3.3121,1.4251,0.54,场所型,121.16462394622462,31.369374798634006
25,金山区体育场,金山区,Ⅱ类,松卫南路1700号,22.61,22.61,8.4,3,场所与场地相结合,121.28892205847627,30.848306013268832
26,金山区体育馆,金山区,Ⅱ类,健康南路333号,1.2,1.2,0.95,0.51,场所型,121.16487547176742,30.89021793384648
27,上海市城市科技学校,松江区,Ⅱ类,人民北路925号,15.87,15.87,4.12,2.72,场所型,121.22782640652422,31.06936961957907
28,中山中路休闲绿地,松江区,Ⅱ类,中山路西林南路口,1.93,1.93,1.38,0.46,场地型,121.2294105480792,31.01103844291164
29,青浦高级中学,青浦区,Ⅱ类,公园东路1100号,10,10,8,0.5,场所型,121.14882275230411,31.159038232214616
30,果香果园度假村,奉贤区,Ⅲ类,金钱公路3858号,3.25,3.25,2,1,场地型,121.52279515136587,30.90541696073058
31,堡镇中学,崇明区,Ⅱ类,堡镇石岛路381号,13,13,6,1,场所与场地相结合,121.62713854652176,31.53985111002282
32,天山中学,长宁区,Ⅱ类,天中路155号,4.8,4.8,2.4,0.4,场所型,121.39629693724794,31.222357977181456
33,市曹杨二中,普陀区,Ⅱ类,梅川路160号,6.18,6.18,1,0.33,场所型,121.40727665600475,31.244905576861676
34,普陀区体育中心,普陀区,Ⅱ类,西乡路218号,2.6,2.6,0.8,0.27,场地型,121.43375097701151,31.274706939763934
35,田家炳中学,静安区,Ⅲ类,景风路185号,2.88,2.88,0.28,0.08,场所型,121.47006434843851,31.32536455925838
36,青云中学,静安区,Ⅲ类,止园路389号,1.75,1.75,0.33,0.11,场所型,121.47565198837168,31.26650986938145
37,大宁国际学校,静安区,Ⅲ类,平型关路2166号,1.18,1.18,0.7,0.13,场所型,121.46651711964073,31.30719808671563
38,第五十二中学,虹口区,Ⅲ类,广灵二路122号,2,2,1.51,0.07,场所型,121.48477221472284,31.287898475514968
39,虹口区实验学校,虹口区,Ⅲ类,辉河路65号,0.27,0.27,0.16,0.07,场所型,121.50363483382135,31.294956053985068
40,少云中学,杨浦区,Ⅱ类,黄兴路1980号,2,2,0.99,0.5,场所型,121.52601970882449,31.299722572186283
41,中原路小学分校,杨浦区,Ⅱ类,闸殷路60弄25号,0.94,0.94,0.79,0.4,场所型,121.53554327434962,31.341891364839412
42,包头中学,杨浦区,Ⅱ类,包头路765弄11号,1.33,1.33,0.64,0.32,场所型,121.54429501578059,31.328720186849832
43,吴淞中学,宝山区,Ⅲ类,泰和路99号,4.4,4.4,2.64,0.75,场所型,121.50278207240073,31.381414072226434
44,徐行中学,嘉定区,Ⅱ类,徐行镇新建一路2215号,5.7,5.7,2.17,0.72,场所型,121.27557509705082,31.420180962147025
45,江桥实验中学,嘉定区,Ⅱ类,江桥镇靖远路1358号,2.9,2.9,1.73,0.57,场所型,121.32813504227018,31.261824844792027
46,华实高中,松江区,Ⅱ类,江学路450号,6.89,6.89,1.14,0.38,场所型,121.21912701609263,31.036313431766104
47,南浦广场公园,浦东新区,Ⅲ类,浦东南路2277号,3.24,3.24,0.54,0.18,场地型,121.52085364366717,31.209571748530458
48,华泾公园,徐汇区,Ⅱ类,华泾路190号,9,9,0.5,0.15,场地型,121.46105910519263,31.12687691986561
49,格致中学,黄浦区,Ⅱ类,广西北路66号,14,14,4.4,0.64,场所型,121.48608257297025,31.236454096184104
50,区工人体育场,静安区,Ⅱ类,昌平路888号,1.97,1.97,0.75,0.3,场地型,121.44570302165232,31.239958265545575
51,长征中学,普陀区,Ⅱ类,香樟路429号,2.5,2.5,1.31,0.44,场所型,121.36467316973578,31.244659822941376
52,华东师大第四附中,普陀区,Ⅱ类,泸定路271号,2.2,2.2,0.82,0.21,场所型,121.39366094955948,31.230248051253955
53,上海理工大学附属初级中学,杨浦区,Ⅱ类,图门路50号,2.3,2.3,1.18,0.3,场所型,121.53238213726002,31.26553494802182
54,铁岭中学,杨浦区,Ⅱ类,鞍山路300号,2.16,2.16,0.92,0.28,场所型,121.51596479559021,31.284675853600703
55,罗店中学,宝山区,Ⅱ类,罗店镇罗新路707号,10.46,10.46,1.91,0.77,场所型,121.35472937689308,31.431074623528907
56,上大附中,宝山区,Ⅱ类,上大路688号,13.79,13.79,3.5,1.02,场所型,121.39752015986087,31.316781687926017
57,端桥中学,闵行区,Ⅲ类,老沪闵路3112号,2.32,2.32,1.39,0.66,场所型,121.40847795996325,31.0759681526406
58,麦德龙广场,闵行区,Ⅲ类,顾戴路80号,3,3,1.8,0.8,场地型,121.41396400154323,31.15252582082685
59,南苑中学,嘉定区,Ⅱ类,普惠路350号,5.18,5.18,3.1,0.5,场所型,121.24763635840169,31.36787170695457
60,南翔中学,嘉定区,Ⅲ类,德园路758号,4.13,4.13,2.21,0.4,场所型,121.31335010137312,31.305873481609787
61,震川中学,嘉定区,Ⅲ类,和静路1388号,5.28,5.28,1.98,0.4,场所型,121.1618391991437,31.307211353497465
62,东华大学附属实验学校,松江区,Ⅲ类,弘翔路300号,6.3,6.3,0.6,0.08,场所型,121.19013896677728,31.040742785326728
63,枫泾中学,金山区,Ⅲ类,枫泾镇白牛路188号,7.6,7.6,0.79,0.39,场所型,121.02870133950987,30.895850213014526
64,尚文中学,黄浦区,Ⅱ类,花衣街12号,0.96,0.96,0.42,0.12,场所与场地相结合,121.50984805371166,31.22381964113975
65,汾阳中学,徐汇区,Ⅱ类,龙川北路788号,1.5,1.5,0.906,0.228,场所与场地相结合,121.44313458653819,31.157160924089364
66,闸北公园,静安区,Ⅱ类,共和新路1555号,12.18,12.18,0.466,0.13,场地型,121.46440394575905,31.274938031613917
67,宜川中学,普陀区,Ⅱ类,华阴路101号,2.67,2.67,0.779,0.1678,场所与场地相结合,121.451720500772,31.26711469517043
68,同济大学第二附中,普陀区,Ⅱ类,宜昌路55号,1.29,1.29,0.6338,0.1776,场所与场地相结合,121.44818112316437,31.255718102210572
69,彩虹湾九年一贯制学校,虹口区,Ⅱ类,新建,2.9124,2.9124,2.23,0.6,场所型,115.82145092530017,28.698748625155122
70,月浦实验中学,宝山区,Ⅱ类,月浦镇庆安路25号,1.3884,1.3884,1.1209,0.4378,场所与场地相结合,121.43559780330948,31.41312339253748
71,共富实验学校,宝山区,Ⅱ类,顾村镇共富路501号,1.3187,1.3187,1.0721,0.4881,场所型,121.4283210795259,31.354173414985528
72,文来中学,闵行区,Ⅱ类,华漕镇申滨路615号,3.53,3.53,1.1501,0.3,场所型,121.31516270223115,31.209563255092586
73,纪王学校,闵行区,Ⅲ类,华漕镇纪翟路1655号,1.39,1.39,0.679,0.2,场地型,121.2804343908765,31.24238023930997
74,嘉定一中,嘉定区,Ⅱ类,嘉行公路701号,10.08,10.08,2.119,0.785,场所与场地相结合,121.26111992410647,31.41199853248776
75,亭林中学,金山区,Ⅱ类,亭林镇和平南路86号,4.9369,4.9369,1.81,0.5,场所型,121.32129381699784,30.887656104546384
76,华师大学松江实验中学,松江区,Ⅱ类,南青路100号,1.058,1.058,0.9709,0.32,场所型,121.2435041530558,31.040307757005678
77,上海城建学校,奉贤区,Ⅲ类,庄行镇南亭公路2080号,31.33,31.33,3.75,0.2,场所型,121.42179228490994,30.90932518679147
78,育秀实验学校,奉贤区,Ⅲ类,南桥镇古华路261号,3.55,3.55,0.48,0.18,场所型,121.47411714357733,30.912636603274994
79,金水苑小学,奉贤区,Ⅲ类,广丰路379号,2.59,2.59,0.358,0.139,场所型,121.49882971829145,30.962642139668148
80,东门中学、东门小学,崇明区,Ⅱ类,湄洲路388号湄洲路318号,7.7204,7.7204,2.5802,0.9997,场所型,121.41596569571111,31.629930724691675
81,华东理工附属中学,徐汇区,Ⅲ类,梅陇十村76号,3.2,3.2,0.6,0.08,场所与场地相结合,121.43119098596918,31.136225853756606
82,北海中学,普陀区,Ⅱ类,管弄路51号,1.83,1.83,1.25,0.36,场地型,121.43316339537743,31.26328951897486
83,铜川学校,普陀区,Ⅱ类,北石路610弄28号,1.84,1.84,0.41,0.14,场地型,121.40034919340346,31.254554380965846
84,莘庄镇浦淀河畔,闵行区,Ⅲ类,疏影路418号后绿地,1.2,1.2,0.8,0.1,场地型,121.38163326759472,31.128165342761392
85,马陆小学,嘉定区,Ⅲ类,樱花路55号,3.148,3.148,0.95,0.08,场所与场地相结合,121.55553648579124,31.21261326344115
86,青浦区实验中学,青浦区,Ⅲ类,青赵公路1118号,1.5,1.5,1.1,0.25,场所与场地相结合,121.10307205268094,31.156210667387686
87,立达学校,松江区,Ⅱ类,松汇西路1260号,2.8624,2.8624,0.7,0.3,场所与场地相结合,121.22000448091477,31.00997304254643
88,上海市工程技术管理学校（长兴校区）,崇明区,Ⅱ类,长兴镇长凯路277号,6.7774,6.7774,2.5566,0.5,场所与场地相结合,121.74165022106732,31.381003128596326
89,高境四中,宝山区,Ⅱ类,岭南路1249弄288号,1.66,1.66,0.3137,0.1044,场所与场地相结合,121.46203933616513,31.33089649129478
90,罗泾中心小学,宝山区,Ⅱ类,陈功路28号,1.7,1.7,0.7372,0.2456,场所与场地相结合,121.34010397505459,31.49228891599284
91,吕巷中学,金山区,Ⅱ类,田阳路4081号,2.4,2.4,1.09,0.3,场所与场地相结合,121.18456039972978,30.83111036340438
